komentar,komentar_bersih,label_sentimen,destinasi
"Rencana tgl 24 agustus ini mau ke sini,buat kedua kalinya 😊",rencana tgl agustus ini mau ke sinibuat kedua kalinya,netral,Ranca Upas
"Mantep ngajelsakeuna kang , Sunda pisan 😊",mantep ngajelaskeuna kang sunda pisan,positif,Kawah Putih
Smgt kwn keren skli,smgt kwn keren skli,positif,Ranca Upas
Jembatan oyag jiga ager setengah mateng 😂😂,jembatan oyag jiga ager setengah mateng,negatif,Kawah Putih
Pernah kemari 😂 tp blm coba naek gokart nya,pernah kemari tp blm coba naek gokart nya,netral,Kawah Putih
Kendaraannta antara ketempat satu ke satunya disediakan ga kang....,kendaraannta antara ketempat satu ke satunya disediakan ga kang,netral,Ranca Upas
LUCU......DENGERIN SAMBIL KETAWA KETIWI SENDIRI😅😅😅,lucudengerin sambil ketawa ketiwi sendiri,positif,Glamping Lakeside
yah sekarang udah jd nenek terakhis sm mantan  1993 wuuh sudah lama juga ya,yah sekarang udah jd nenek terakhis sm mantan wuuh sudah lama juga ya,netral,Glamping Lakeside
Terakhir 2019 touring rombongan sekolah dri palembang.pgn sana lgi😅,terakhir touring rombongan sekolah dri palembangpgn sana lgi,positif,Glamping Lakeside
Blm pernah datang ke situ,blm pernah datang ke situ,netral,Kawah Putih
banyak kenangan di situ patenggang thn 90an aku sering liburan ke situ sekarang udh lama g kesitu banyak perubahan,banyak kenangan di situ patenggang thn an aku sering liburan ke situ sekarang udh lama g kesitu banyak perubahan,netral,Situ Patenggang
Narasi nya sampah banyak bacot yang ga penting bikin jiji nonton mya,narasi nya sampah banyak bacot yang ga penting bikin jiji nonton mya,negatif,Situ Patenggang
saya malah lebih fokus dengar narasi daripada liat videonya haaaa mantap mang,saya malah lebih fokus dengar narasi daripada liat videonya haaaa mantap mang,positif,Kawah Putih
matap Mas bro ceritaa 😅,matap mas bro ceritaa,positif,Glamping Lakeside
Habis tahun baru tgl 6 Januari rencana mau kesitu... Smoga di lancarkan.. Amien,habis tahun baru tgl januari rencana mau kesitu smoga di lancarkan amien,positif,Kawah Putih
mau bawa kamera profesional untuk hobi bole ga ya.foto2 landscape,mau bawa kamera profesional untuk hobi bole ga yafoto landscape,netral,Kawah Putih
Nyariosna kawas mang jaya dongeng sunda,nyariosna kawas mang jaya dongeng sunda,netral,Ranca Upas
gasskeun...🎉,gasskeun,positif,Gunung Puntang
Mantap mang ilustrasi narasinya menghibur.mantap,mantap mang ilustrasi narasinya menghiburmantap,positif,Kawah Putih
"Pusing denger narasinya, kebanyakan informasi ga pentingnya dibanding informasi pentingnya.",pusing denger narasinya kebanyakan informasi ga pentingnya dibanding informasi pentingnya,negatif,Kawah Putih
"Suka Bgtd narator ny , ngomongnya 😂😂😂",suka bgtd narator ny ngomongnya,positif,Ranca Upas
"Mantap kang, makasih",mantap kang makasih,positif,Kawah Putih
Jadi kangen kesini lagi❤,jadi kangen kesini lagi,positif,Situ Patenggang
lokasi syuting film heart ini kyak nya,lokasi syuting film heart ini kyak nya,netral,Kawah Putih
Kang kalo camping deket area pinisi resto bisa ga ya?,kang kalo camping deket area pinisi resto bisa ga ya,netral,Pinisi Resto
Buat muterin nya jauh2 ya  antar satu tempat dan laiinnya,buat muterin nya jauh ya antar satu tempat dan laiinnya,netral,Ranca Upas
